Index_Video,Index_Partida,Index_Time_Casa,Nome_Time_Casa,Index_Time_Visitante,Nome_Time_Visitante,Index_Campeonato,Nome_Campeonato,Data,Nome_Stat_Video
1,1,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/07/2018,Gols
2,1,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/07/2018,Assistências
3,1,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/07/2018,Passes
4,1,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/07/2018,Finalizações
5,1,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/07/2018,Duelos
6,1,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/07/2018,Desarmes
7,1,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/07/2018,Perdas de posse
8,1,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/07/2018,Toques
9,2,1,Quilmes,8,Colorado,1,Society Pinheiros,03/14/2018,Gols
10,2,1,Quilmes,8,Colorado,1,Society Pinheiros,03/14/2018,Assistências
11,2,1,Quilmes,8,Colorado,1,Society Pinheiros,03/14/2018,Passes
12,2,1,Quilmes,8,Colorado,1,Society Pinheiros,03/14/2018,Finalizações
13,2,1,Quilmes,8,Colorado,1,Society Pinheiros,03/14/2018,Duelos
14,2,1,Quilmes,8,Colorado,1,Society Pinheiros,03/14/2018,Desarmes
15,2,1,Quilmes,8,Colorado,1,Society Pinheiros,03/14/2018,Perdas de posse
16,2,1,Quilmes,8,Colorado,1,Society Pinheiros,03/14/2018,Toques
17,3,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/21/2018,Gols
18,3,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/21/2018,Assistências
19,3,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/21/2018,Passes
20,3,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/21/2018,Finalizações
21,3,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/21/2018,Duelos
22,3,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/21/2018,Desarmes
23,3,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/21/2018,Perdas de posse
24,3,1,Quilmes,4,Galatasaray,1,Society Pinheiros,03/21/2018,Toques
25,4,1,Quilmes,8,Colorado,1,Society Pinheiros,03/28/2018,Gols
26,4,1,Quilmes,8,Colorado,1,Society Pinheiros,03/28/2018,Assistências
27,4,1,Quilmes,8,Colorado,1,Society Pinheiros,03/28/2018,Passes
28,4,1,Quilmes,8,Colorado,1,Society Pinheiros,03/28/2018,Finalizações
29,4,1,Quilmes,8,Colorado,1,Society Pinheiros,03/28/2018,Duelos
30,4,1,Quilmes,8,Colorado,1,Society Pinheiros,03/28/2018,Desarmes
31,4,1,Quilmes,8,Colorado,1,Society Pinheiros,03/28/2018,Perdas de posse
32,4,1,Quilmes,8,Colorado,1,Society Pinheiros,03/28/2018,Toques
33,5,1,Quilmes,10,Terribles,1,Society Pinheiros,04/04/2018,Gols
34,5,1,Quilmes,10,Terribles,1,Society Pinheiros,04/04/2018,Assistências
35,5,1,Quilmes,10,Terribles,1,Society Pinheiros,04/04/2018,Passes
36,5,1,Quilmes,10,Terribles,1,Society Pinheiros,04/04/2018,Finalizações
37,5,1,Quilmes,10,Terribles,1,Society Pinheiros,04/04/2018,Duelos
38,5,1,Quilmes,10,Terribles,1,Society Pinheiros,04/04/2018,Desarmes
39,5,1,Quilmes,10,Terribles,1,Society Pinheiros,04/04/2018,Perdas de posse
40,5,1,Quilmes,10,Terribles,1,Society Pinheiros,04/04/2018,Toques
41,6,1,Quilmes,8,Colorado,1,Society Pinheiros,04/11/2018,Gols
42,6,1,Quilmes,8,Colorado,1,Society Pinheiros,04/11/2018,Assistências
43,6,1,Quilmes,8,Colorado,1,Society Pinheiros,04/11/2018,Passes
44,6,1,Quilmes,8,Colorado,1,Society Pinheiros,04/11/2018,Finalizações
45,6,1,Quilmes,8,Colorado,1,Society Pinheiros,04/11/2018,Duelos
46,6,1,Quilmes,8,Colorado,1,Society Pinheiros,04/11/2018,Desarmes
47,6,1,Quilmes,8,Colorado,1,Society Pinheiros,04/11/2018,Perdas de posse
48,6,1,Quilmes,8,Colorado,1,Society Pinheiros,04/11/2018,Toques
49,7,1,Quilmes,9,CCCP,1,Society Pinheiros,04/18/2018,Gols
50,7,1,Quilmes,9,CCCP,1,Society Pinheiros,04/18/2018,Assistências
51,7,1,Quilmes,9,CCCP,1,Society Pinheiros,04/18/2018,Passes
52,7,1,Quilmes,9,CCCP,1,Society Pinheiros,04/18/2018,Finalizações
53,7,1,Quilmes,9,CCCP,1,Society Pinheiros,04/18/2018,Duelos
54,7,1,Quilmes,9,CCCP,1,Society Pinheiros,04/18/2018,Desarmes
55,7,1,Quilmes,9,CCCP,1,Society Pinheiros,04/18/2018,Perdas de posse
56,7,1,Quilmes,9,CCCP,1,Society Pinheiros,04/18/2018,Toques
57,8,1,Quilmes,9,CCCP,1,Society Pinheiros,04/25/2018,Gols
58,8,1,Quilmes,9,CCCP,1,Society Pinheiros,04/25/2018,Assistências
59,8,1,Quilmes,9,CCCP,1,Society Pinheiros,04/25/2018,Passes
60,8,1,Quilmes,9,CCCP,1,Society Pinheiros,04/25/2018,Finalizações
61,8,1,Quilmes,9,CCCP,1,Society Pinheiros,04/25/2018,Duelos
62,8,1,Quilmes,9,CCCP,1,Society Pinheiros,04/25/2018,Desarmes
63,8,1,Quilmes,9,CCCP,1,Society Pinheiros,04/25/2018,Perdas de posse
64,8,1,Quilmes,9,CCCP,1,Society Pinheiros,04/25/2018,Toques
65,9,1,Quilmes,10,Terribles,1,Society Pinheiros,05/02/2018,Gols
66,9,1,Quilmes,10,Terribles,1,Society Pinheiros,05/02/2018,Assistências
67,9,1,Quilmes,10,Terribles,1,Society Pinheiros,05/02/2018,Passes
68,9,1,Quilmes,10,Terribles,1,Society Pinheiros,05/02/2018,Finalizações
69,9,1,Quilmes,10,Terribles,1,Society Pinheiros,05/02/2018,Duelos
70,9,1,Quilmes,10,Terribles,1,Society Pinheiros,05/02/2018,Desarmes
71,9,1,Quilmes,10,Terribles,1,Society Pinheiros,05/02/2018,Perdas de posse
72,9,1,Quilmes,10,Terribles,1,Society Pinheiros,05/02/2018,Toques
73,10,1,Quilmes,3,Atletico Nacional,1,Society Pinheiros,05/09/2018,Gols
74,10,1,Quilmes,3,Atletico Nacional,1,Society Pinheiros,05/09/2018,Assistências
75,10,1,Quilmes,3,Atletico Nacional,1,Society Pinheiros,05/09/2018,Passes
76,10,1,Quilmes,3,Atletico Nacional,1,Society Pinheiros,05/09/2018,Finalizações
77,10,1,Quilmes,3,Atletico Nacional,1,Society Pinheiros,05/09/2018,Duelos
78,10,1,Quilmes,3,Atletico Nacional,1,Society Pinheiros,05/09/2018,Desarmes
79,10,1,Quilmes,3,Atletico Nacional,1,Society Pinheiros,05/09/2018,Perdas de posse
80,10,1,Quilmes,3,Atletico Nacional,1,Society Pinheiros,05/09/2018,Toques
81,11,1,Quilmes,10,Terribles,1,Society Pinheiros,05/16/2018,Gols
82,11,1,Quilmes,10,Terribles,1,Society Pinheiros,05/16/2018,Assistências
83,11,1,Quilmes,10,Terribles,1,Society Pinheiros,05/16/2018,Passes
84,11,1,Quilmes,10,Terribles,1,Society Pinheiros,05/16/2018,Finalizações
85,11,1,Quilmes,10,Terribles,1,Society Pinheiros,05/16/2018,Duelos
86,11,1,Quilmes,10,Terribles,1,Society Pinheiros,05/16/2018,Desarmes
87,11,1,Quilmes,10,Terribles,1,Society Pinheiros,05/16/2018,Perdas de posse
88,11,1,Quilmes,10,Terribles,1,Society Pinheiros,05/16/2018,Toques
89,12,1,Quilmes,7,Rosario Central,1,Society Pinheiros,05/23/2018,Gols
90,12,1,Quilmes,7,Rosario Central,1,Society Pinheiros,05/23/2018,Assistências
91,12,1,Quilmes,7,Rosario Central,1,Society Pinheiros,05/23/2018,Passes
92,12,1,Quilmes,7,Rosario Central,1,Society Pinheiros,05/23/2018,Finalizações
93,12,1,Quilmes,7,Rosario Central,1,Society Pinheiros,05/23/2018,Duelos
94,12,1,Quilmes,7,Rosario Central,1,Society Pinheiros,05/23/2018,Desarmes
95,12,1,Quilmes,7,Rosario Central,1,Society Pinheiros,05/23/2018,Perdas de posse
96,12,1,Quilmes,7,Rosario Central,1,Society Pinheiros,05/23/2018,Toques
97,13,1,Quilmes,5,Avai,1,Society Pinheiros,05/30/2018,Gols
98,13,1,Quilmes,5,Avai,1,Society Pinheiros,05/30/2018,Assistências
99,13,1,Quilmes,5,Avai,1,Society Pinheiros,05/30/2018,Passes
100,13,1,Quilmes,5,Avai,1,Society Pinheiros,05/30/2018,Finalizações
101,13,1,Quilmes,5,Avai,1,Society Pinheiros,05/30/2018,Duelos
102,13,1,Quilmes,5,Avai,1,Society Pinheiros,05/30/2018,Desarmes
103,13,1,Quilmes,5,Avai,1,Society Pinheiros,05/30/2018,Perdas de posse
104,13,1,Quilmes,5,Avai,1,Society Pinheiros,05/30/2018,Toques
105,14,1,Quilmes,10,Terribles,1,Society Pinheiros,06/06/2018,Gols
106,14,1,Quilmes,10,Terribles,1,Society Pinheiros,06/06/2018,Assistências
107,14,1,Quilmes,10,Terribles,1,Society Pinheiros,06/06/2018,Passes
108,14,1,Quilmes,10,Terribles,1,Society Pinheiros,06/06/2018,Finalizações
109,14,1,Quilmes,10,Terribles,1,Society Pinheiros,06/06/2018,Duelos
110,14,1,Quilmes,10,Terribles,1,Society Pinheiros,06/06/2018,Desarmes
111,14,1,Quilmes,10,Terribles,1,Society Pinheiros,06/06/2018,Perdas de posse
112,14,1,Quilmes,10,Terribles,1,Society Pinheiros,06/06/2018,Toques
113,15,1,Quilmes,1,Quilmes,1,Society Pinheiros,06/13/2018,Gols
114,15,1,Quilmes,1,Quilmes,1,Society Pinheiros,06/13/2018,Assistências
115,15,1,Quilmes,1,Quilmes,1,Society Pinheiros,06/13/2018,Passes
116,15,1,Quilmes,1,Quilmes,1,Society Pinheiros,06/13/2018,Finalizações
117,15,1,Quilmes,1,Quilmes,1,Society Pinheiros,06/13/2018,Duelos
118,15,1,Quilmes,1,Quilmes,1,Society Pinheiros,06/13/2018,Desarmes
119,15,1,Quilmes,1,Quilmes,1,Society Pinheiros,06/13/2018,Perdas de posse
120,15,1,Quilmes,1,Quilmes,1,Society Pinheiros,06/13/2018,Toques